"iso","rcp","ssp","model","period","year_center","TT","flextotal","rawtotal","f2mort","f2total"
"ARM","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-12.6084974842688,-6.45623656874015,NA,NA
"ARM","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-11.86145277077,-4.62575170629653,NA,NA
"ASM","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-28.6180824185231,-5.46157116958037,NA,NA
"ASM","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-29.452991958891,-11.0085835555951,NA,NA
"ASM","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-28.0830311505409,-17.3293903058406,NA,NA
"ASM","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-26.2947031046534,-21.0103503503178,NA,NA
"ASM","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-24.9999893364035,-22.7861752892801,NA,NA
"ATG","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-16.288977373023,-1.27824164040919,NA,NA
"ATG","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-15.7330647745958,-4.59562643432903,NA,NA
"ATG","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-14.4338138444198,-7.98123824892874,NA,NA
"ATG","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-13.2348929781435,-10.9235894738278,NA,NA
"ATG","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-12.5246869178353,-11.4978149308525,NA,NA
"AUS","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,6.25065204275775,1.3842332803414,NA,NA
"AUS","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,6.8485047482249,3.42859962074818,NA,NA
"AUS","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,7.06961860140632,5.36693140357087,NA,NA
"AUS","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,7.04901588851764,7.02013112158695,NA,NA
"AUS","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,6.92444402686613,7.66737587306344,NA,NA
"AUT","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-39.3382021933337,-11.4680768898792,NA,NA
"AUT","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-38.5568301029184,-21.4139713512167,NA,NA
"AUT","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-35.3865743057739,-23.7305144381794,NA,NA
"AUT","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-32.5964913074285,-20.2757415071368,NA,NA
"AUT","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-31.1355495506827,-16.4247229510093,NA,NA
"AZE","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,18.5636311816352,3.97655864027263,NA,NA
"AZE","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,23.1153425140538,10.736830131504,NA,NA
"AZE","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,24.8505215140816,18.491160590397,NA,NA
"AZE","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,26.0083981960343,24.2184949260696,NA,NA
"AZE","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,25.6345726103243,25.1732578979063,NA,NA
"BDI","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-50.2393394501335,-13.096869765197,NA,NA
"BDI","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-49.4211199999018,-25.6894233346017,NA,NA
"BDI","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-41.1687632588893,-39.7149426975846,NA,NA
"BDI","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-32.7490036852761,-44.8411974479989,NA,NA
"BDI","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-28.3023189469839,-43.4174880625144,NA,NA
"BEL","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-2.38445429756717,-2.69674289656663,NA,NA
"BEL","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,0.600258954491645,3.54830954624083,NA,NA
"BEL","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,2.39899701768542,9.83815680923438,NA,NA
"BEL","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,3.26607442444512,15.4034175988036,NA,NA
"BEL","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,3.36248072787087,19.2774102094862,NA,NA
"BEN","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,20.9321427233286,8.55762013777808,NA,NA
"BEN","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,26.0359190700646,15.781280586035,NA,NA
"BEN","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,25.1543263693406,21.2563942397543,NA,NA
"BEN","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,22.3608355918722,21.8837692367636,NA,NA
"BEN","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,20.1279253545649,15.2393892423468,NA,NA
"BES","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-24.6973847597914,-2.80073663115659,NA,NA
"BES","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-25.0488425473952,-7.92303699330276,NA,NA
"BES","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-23.6806283465299,-13.8557496559871,NA,NA
"BES","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-22.0725063163345,-18.6784401008617,NA,NA
"BES","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-20.9647355433699,-19.8298981136774,NA,NA
"BFA","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,64.30590328441,26.2971930169418,NA,NA
"BFA","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,72.34301869695,45.4032347985113,NA,NA
"BFA","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,63.3489655048629,62.3077276399791,NA,NA
"BFA","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,52.1837451080251,64.4686386736646,NA,NA
"BFA","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,45.6307021075884,54.0473717592886,NA,NA
"BGD","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-2.43399110701093,9.59840630160199,NA,NA
"BGD","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,3.52152245176704,13.368227636491,NA,NA
"BGD","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,5.95689917996237,13.5199626137727,NA,NA
"BGD","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,6.25967669810111,7.37716008955393,NA,NA
